date,open,high,low,close,volume,amount,turnover_rate
2023-05-24,65.6,65.89,64.11,64.11,187836,1217289017.47,1.56
2023-05-25,63.7,63.88,62.62,63.2,173771,1097907420.11,1.44
2023-05-26,62.98,62.99,60.7,61.55,217861,1338962671.19,1.8
2023-05-29,62.78,63.0,60.8,61.36,181039,1116991314.93,1.5
2023-05-30,61.36,62.1,60.23,62.09,191957,1172512790.75,1.59
2023-05-31,61.94,62.07,60.57,62.0,145873,895118005.69,1.21
2023-06-01,61.69,63.38,61.38,62.1,181555,1137092855.43,1.5
2023-06-02,62.59,64.58,62.58,64.2,268329,1713308990.09,2.22
2023-06-05,64.3,64.78,63.32,64.66,198741,1275979396.99,1.65
2023-06-06,64.51,64.59,63.1,63.21,126681,807550860.01,1.05
2023-06-07,63.46,64.1,62.05,62.3,116672,730675617.78,0.97
2023-06-08,62.3,63.97,62.3,63.2,139778,885336160.08,1.16
2023-06-09,63.14,64.71,63.08,63.91,171860,1099250396.66,1.42
2023-06-12,63.68,63.79,62.6,63.09,118082,746407045.87,0.98
2023-06-13,63.49,63.99,62.9,63.21,99239,628908913.77,0.82
2023-06-14,63.7,63.96,62.86,62.86,134881,852920389.71,1.12
2023-06-15,63.0,65.27,62.0,65.0,269224,1725918261.16,2.23
2023-06-16,65.16,65.6,64.66,65.31,176439,1150125802.45,1.46
2023-06-19,64.84,65.29,63.75,63.95,156988,1009831373.09,1.3
2023-06-20,63.73,64.45,63.28,63.33,123561,787476823.93,1.02
2023-06-21,63.06,63.89,62.03,62.16,125474,788419125.37,1.04
2023-06-26,61.71,62.49,60.74,61.18,126859,779763847.79,1.05
2023-06-27,61.4,61.9,60.4,61.42,127623,780465253.94,1.06
2023-06-28,61.41,61.45,60.3,60.7,105041,638236346.25,0.87
2023-06-29,60.66,60.66,59.74,59.74,154479,927147029.08,1.28
2023-06-30,59.78,61.65,59.78,60.96,165829,1010286160.66,1.37
2023-07-03,61.02,62.09,61.0,61.39,129584,796789221.2,1.07
2023-07-04,61.95,62.27,61.14,61.87,115855,715430497.86,0.96
2023-07-05,61.91,62.2,61.5,61.99,105904,655183814.41,0.88
2023-07-06,61.82,61.9,60.77,60.9,106512,651173302.03,0.88
2023-07-07,60.77,61.16,60.52,60.9,64136,390235914.7,0.53
2023-07-10,61.49,62.8,61.22,62.16,139851,870799875.78,1.16
2023-07-11,61.83,62.39,61.35,62.22,97768,604957160.96,0.81
2023-07-12,61.31,61.75,60.85,60.88,96088,588239349.78,0.8
2023-07-13,61.28,61.95,60.74,61.16,122109,747684039.78,1.01
2023-07-14,61.15,61.38,60.65,61.18,142760,870892681.32,1.18
2023-07-17,61.1,61.1,60.42,60.56,72617,439974359.04,0.6
2023-07-18,60.56,60.78,59.45,60.1,118664,710896829.45,0.98
2023-07-19,59.93,60.4,59.56,59.77,60662,363232874.78,0.5
2023-07-20,59.9,60.97,59.86,59.93,112631,679964693.89,0.93
2023-07-21,59.5,59.5,57.96,58.44,162451,952274979.71,1.35
