date,open,high,low,close,volume,amount,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2023-07-28,36.8,39.06,36.46,38.8,191299349.0,7325336036.0,61.323736311526865,36.32823558605543,35.764050011487186,35.99300605352061,0.6218120752243266,0.5192816089972428,0.10253046622708373,40.183247625278064,36.695999999999984,33.208752374721904,37.112,36.251,36.695999999999984,139381452.5,1.3724878423117308
2023-08-04,39.01,39.5,38.0,38.44,122487124.0,4727524048.0,59.56568163971192,36.5293560064311,35.86898922672298,36.073235363241245,0.7147755059723977,0.5583803883922738,0.15639511758012392,40.29609465893437,36.742499999999986,33.1889053410656,37.498000000000005,36.655,36.742499999999986,133902214.5,0.9147505473107765
2023-08-11,38.36,38.53,35.8,35.91,128890092.0,4761332007.0,48.945755239194995,36.47036972010433,35.87059749234169,36.06788338411858,0.57764115107733,0.562232540929285,0.015408610148045065,40.266394685554786,36.69499999999998,33.12360531444517,37.384,36.837,36.69499999999998,136223095.0,0.9461691646339411
2023-08-18,35.66,36.08,34.96,35.48,104854985.0,3733592134.0,47.39898071233172,36.37604879438011,35.855279943622406,36.04860851906551,0.42931490549199225,0.5356490138418264,-0.10633410834983414,40.241676034490354,36.63149999999998,33.02132396550961,37.132,36.865,36.63149999999998,136882887.5,0.7660196750305986
2023-08-25,35.5,35.59,34.15,34.65,127889078.0,4437180357.0,44.4772245034778,36.21166319491534,35.80801406348035,36.00275250204697,0.24200158025571028,0.47691952712460317,-0.2349179468688929,40.195743904290936,36.49949999999998,32.80325609570903,36.656,36.62,36.49949999999998,121030319.75,1.0566697523741773
2023-09-01,36.09,36.78,34.25,36.69,219818390.0,7799485082.0,52.26554322881152,36.25721908111388,35.842601747265434,36.025285206897884,0.2552233159793573,0.432580284895554,-0.17735696891619668,40.008141900371534,36.41399999999999,32.81985809962844,36.234,36.672999999999995,36.41399999999999,145363136.25,1.5122017567228982
2023-09-08,37.0,37.33,35.92,36.06,113951267.0,4189962808.0,49.935945720985934,36.23843631148399,35.8511271689413,36.02642339683566,0.21241728766050727,0.3885476854485447,-0.1761303977880374,39.07355154726587,36.16599999999998,33.25844845273409,35.758,36.628,36.16599999999998,141628430.0,0.8045790453230329
2023-09-15,36.17,36.75,35.81,35.96,97146805.0,3521060185.0,49.55835057580435,36.21191856753313,35.85539669172791,36.024245580545966,0.16848188327782054,0.34453452501439985,-0.1760526417365793,38.51359372962855,35.996999999999986,33.48040627037142,35.76800000000001,36.57599999999999,35.996999999999986,139701385.0,0.6953889898800931
2023-09-22,35.84,36.75,35.61,36.71,93461062.0,3388363388.0,52.461721479134646,36.259354894434736,35.888910546954264,36.04672933200347,0.19196859627396634,0.31402133926631315,-0.12205274299234681,38.57841766391576,36.07499999999999,33.57158233608422,36.01400000000001,36.57299999999999,36.07499999999999,131094381.0,0.7129295801015301
2023-09-29,36.83,36.92,36.25,36.3,58887187.0,2153348340.0,50.74226814561686,36.263225856869525,35.905031701975666,36.05503328833123,0.17547563812252776,0.28631219903755606,-0.1108365609150283,38.539635840362386,36.17649999999999,33.813364159637594,36.34400000000001,36.49999999999999,36.17649999999999,90861580.25,0.64809776407119
2023-10-06,36.83,36.92,36.25,36.3,0.0,0.0,50.742268145616855,36.26672815621529,35.920520654839365,36.06306498379578,0.16055408244122304,0.26116057571828943,-0.10060649327706639,38.53031117639312,36.25049999999998,33.97068882360684,36.266000000000005,36.24999999999999,36.25049999999998,62373763.5,0.0
2023-10-13,36.2,36.85,34.63,34.81,141368283.0,5015914577.0,44.583500758893514,36.12799214133764,35.87697082523782,36.021980885966414,0.028173329899566113,0.21456312655454476,-0.18638979665497865,38.490458492517085,36.27099999999998,34.051541507482874,36.016000000000005,35.88699999999999,36.27099999999998,73429133.0,1.9252342663503872
2023-10-20,34.8,34.88,33.48,33.58,105778363.0,3617754424.0,40.241394259714966,35.88532622311501,35.78689353797359,35.94191593888555,-0.17398450562338041,0.13685360011895972,-0.31083810574234016,38.5736621507117,36.24549999999998,33.91733784928826,35.540000000000006,35.65399999999999,36.24549999999998,76508458.25,1.3825708349050414
2023-10-27,33.58,34.42,33.11,34.22,136532082.0,4595662326.0,43.33389094861814,35.726723725675484,35.72544673256286,35.88545967859422,-0.2793334137325445,0.05361619734865887,-0.33294961108120336,38.64857075754479,36.19649999999998,33.74442924245517,35.04200000000001,35.527999999999984,36.19649999999998,95919682.0,1.4234000692370936
2023-11-03,34.1,34.42,33.71,34.01,130770009.0,4444486290.0,42.55569233692315,35.563226227992104,35.65817431167804,35.823969197328836,-0.3754405820376405,-0.03219515852860101,-0.3432454235090395,38.63237912283243,36.04199999999998,33.45162087716753,34.584,35.463999999999984,36.04199999999998,128612184.25,1.0167777630290888
2023-11-10,34.15,34.18,33.37,33.48,135911236.0,4587872270.0,40.57523684173837,35.36482373008809,35.572755711220076,35.747117748236086,-0.4887388981508991,-0.12350390645306064,-0.36523499169783846,38.72725947723973,35.90799999999998,33.08874052276023,34.019999999999996,35.14299999999999,35.90799999999998,127247922.5,1.068082160634096
2023-11-17,33.33,33.48,32.2,32.5,156540119.0,5108337394.0,37.134003729569606,35.091983374841604,35.45225548725066,35.64065487124474,-0.6501123492578529,-0.22882559501401908,-0.42128675424383377,38.87575425116175,35.70749999999998,32.53924574883821,33.558,34.78699999999999,35.70749999999998,139938361.5,1.1186362147022852
2023-11-24,32.5,33.26,32.21,33.0,121606751.0,3994447681.0,39.93309399565306,34.892746862951924,35.356088605397694,35.55407602300721,-0.7292498126691953,-0.3289104385450543,-0.400339374124141,38.88961248321701,35.53349999999998,32.17738751678296,33.44199999999999,34.49099999999999,35.53349999999998,136207028.75,0.8928081914421763
2023-12-01,33.0,33.08,32.23,32.5,111623657.0,3651337211.0,38.105926702378284,34.664866209337454,35.24408513067622,35.453942382908615,-0.8228275995280043,-0.42769387074164433,-0.39513372878636,38.87579472610335,35.32149999999998,31.767205273896604,33.098,34.06999999999999,35.32149999999998,131420440.75,0.8493629785669395
2023-12-08,32.46,33.08,32.34,32.88,121497921.0,3979054401.0,40.34014607684576,34.49487895130532,35.151375909865386,35.369550829370624,-0.8564531863885776,-0.513445733871031,-0.3430074525175466,38.72913153287739,35.11399999999998,31.49886846712258,32.872,33.727999999999994,35.11399999999998,127817112.0,0.9505606807952287
2023-12-15,32.71,33.4,32.36,33.1,136207193.0,4500035200.0,41.65330348579129,34.36203333689529,35.07092979575302,35.29513932676831,-0.8554880115769024,-0.5818541894122052,-0.2736338221646971,38.12114155224288,34.828999999999986,31.536858447757094,32.796,33.407999999999994,34.828999999999986,122733880.5,1.1097766358002508
2023-12-22,32.95,33.38,30.78,32.04,310825762.0,9843671877.0,37.38372462604575,34.14088730481002,34.952069803762704,35.18841344720213,-0.9295410739144643,-0.651391566312657,-0.27814950760180723,37.57109666731895,34.50899999999998,31.44690333268101,32.70399999999999,33.13099999999999,34.50899999999998,170038633.25,1.8279714207241782
2023-12-29,32.07,32.44,31.68,32.17,149862340.0,4803678649.0,38.22010707445297,33.953183751970975,34.84296902714456,35.089449071884026,-0.9665964239064024,-0.7144325378314061,-0.2521638860749963,37.474488540820566,34.32199999999998,31.169511459179397,32.538,32.989999999999995,34.32199999999998,179598304.0,0.8344307082098058
2024-01-05,32.17,33.29,31.45,32.98,167382102.0,5420198235.0,43.30185243785015,33.8604995851166,34.76991141823693,35.02028680723209,-0.9199976647957371,-0.7555455632242724,-0.16445210157146473,37.354163917189844,34.19699999999998,31.03983608281012,32.634,32.866,34.19699999999998,191069349.25,0.876028011070436
2024-01-12,33.12,33.84,32.65,33.62,172870599.0,5770130180.0,47.010656785700924,33.83759486272454,34.72481685281588,34.97437576437202,-0.8219502305660669,-0.7688264966926313,-0.05312373387343561,37.305028287577876,34.145499999999984,30.985971712422092,32.782,32.827,34.145499999999984,200235200.75,0.863337706619499
